Nodes total,Nodes during each observation,Broken frames due to collision,Completed transmissions
1036000,20.66,559,0
1037000,21.02,499,8
1038000,20.98,540,6
1039000,21.04,527,7
1040000,21.31,553,4
1041000,20.97,514,8
1042000,20.99,525,5
1043000,21.12,529,6
1044000,21.25,499,12
1045000,21.09,558,5
1046000,21,527,8
1047000,21,504,4
1048000,21.07,547,3
1049000,21.21,521,10
1050000,21.15,541,9
1051000,21.05,515,10
1052000,21.23,514,5
1053000,21.06,548,8
1054000,21.19,524,9
1055000,21.27,537,14
1056000,21.13,553,6
1057000,21.4,534,6
1058000,21.36,521,8
1059000,21.49,526,7
1060000,21.35,543,5
1061000,21.26,510,11
1062000,21.52,502,7
1063000,21.77,523,7
1064000,21.38,539,9
1065000,21.57,515,11
1066000,21.6,508,9
1067000,21.5,534,4
1068000,21.7,563,9
1069000,21.44,563,9
1070000,21.67,556,7
1071000,21.49,512,6
1072000,21.81,530,6
1073000,21.68,524,8
1074000,21.66,547,4
1075000,21.79,552,3
1076000,21.61,527,8
1077000,21.73,545,7
1078000,21.77,563,8
1079000,21.83,547,3
1080000,21.86,554,4
1081000,21.72,546,6
1082000,21.99,552,9
1083000,21.88,548,9
1084000,21.74,551,4
1085000,21.98,547,7
1086000,21.83,576,10
1087000,22.1,519,12
1088000,21.9,560,8
1089000,22.08,539,7
1090000,21.96,546,6
1091000,21.85,523,6
1092000,22.03,541,5
1093000,22.22,552,6
1094000,22.15,569,6
1095000,22.15,535,9
1096000,22.17,612,11
1097000,22.27,555,11
1098000,22.19,534,11
1099000,22.15,553,5
1100000,22.21,554,11
1101000,22.12,569,5
1102000,22.37,558,6
1103000,22.32,543,7
1104000,22.32,518,9
1105000,22.39,579,6
1106000,22.37,550,6
1107000,22.37,554,3
1108000,22.42,547,7
1109000,22.37,587,7
1110000,22.61,544,10
1111000,22.53,607,5
1112000,22.38,585,3
1113000,22.46,567,7
1114000,22.52,566,8
1115000,22.47,541,9
1116000,22.51,521,14
1117000,22.56,531,6
1118000,22.7,599,10
1119000,22.56,540,6
1120000,22.59,523,8
1121000,22.69,568,2
1122000,22.57,586,12
1123000,22.75,572,6
1124000,22.71,572,5
1125000,22.75,539,9
1126000,22.63,536,13
1127000,22.85,518,8
1128000,22.82,555,6
1129000,22.79,573,9
